,Код КПГЗ,Код ОКПД-2 (ОКПД2014)
4986,01.02.10.05.06,32.50
4987,01.02.10.05.07,32.50
4988,01.02.10.05.08,32.50
4989,01.02.10.05.04,32.50.13.190
4990,01.02.10.05.08.04,32.50.13.190
4991,01.02.10.05.08.03,32.50.13.190
4992,01.02.10.05.08.02,32.50.13.190
4993,01.02.10.05.14.02,32.50.13.190
4994,01.02.10.05.15,32.50
4995,01.02.10.05.14,32.50.13.190
4996,01.02.10.05.14.01,32.50.13.190
4997,01.02.10.05.13,32.50.50.000
4998,01.02.10.05.12,32.50.50.000
4999,01.02.10.05.11,32.50.13.190
5000,01.02.10.05.10,32.50.13.190
5001,01.02.10.05.09,32.50.13.190
5002,01.02.10.05.17.04,32.50.13.190
5003,01.02.10.05.17.03,32.50
5004,01.01.14.04,35.30.21.000
5005,01.02.10.05.17.02,32.50
5006,01.02.10.05.17.01,32.50
5007,01.02.10.05.17,32.50
5008,01.02.10.05.15.01,32.50.13.190
5009,01.02.10.05.18,22.22.19.000
5010,01.02.10.05.19,32.50
5011,01.02.10.05.16,32.50
5012,01.02.10.05.15.03,32.50
5013,01.02.10.05.15.02,32.50
5014,01.02.10.05.17.05,32.50
5015,01.02.10.05.01,32.50.13.190
5016,01.02.10.05.24.05,32.50.13.190
5017,01.02.10.05.24.04,32.50.13.190
5018,01.02.10.05.24.03,32.50.13.190
5019,01.02.10.05.24.02,32.50.13.190
5020,01.02.10.05.24.01,32.50.13.190
5021,01.02.10.05.24,32.50.13.190
5022,01.02.10.05.22,32.50.50.000
5023,01.02.10.05.23,32.50
5024,01.02.10.05.21,32.50.50.000
5025,01.02.10.05.20,32.50.13.190
5026,01.02.10.05,32.50
5027,01.02.10.05.04.01,32.50.13.190
5028,01.02.10.05.02,32.50.13.190
5029,01.02.10.05.03,32.50.13.110
5030,01.02.10.05.08.01,32.50.13.110
5031,01.02.10.05.28,32.50.13.190
5032,01.02.10.05.27,32.50.13.190
5033,01.02.10.05.26,32.50.13.190
5034,01.02.10.05.25,32.50.13.190
5035,01.02.10.05.28.01,32.50.13.190
5036,01.02.10.05.28.02,32.50.13.190
5037,01.02.10.05.29,32.50.13.190
5038,01.02.10.05.38,32.50.13.190
5039,01.02.10.05.39,32.50.13.190
5040,01.02.10.05.40,32.50.13.190
5041,01.02.10.05.41,32.50.13.190
5042,01.02.10.05.42,32.50.13.190
5043,01.02.10.05.42.01,32.50.13.190
5044,01.02.10.05.42.02,32.50.13.190
5045,01.02.10.05.43,32.50.13.190
5046,01.02.10.05.43.01,32.50.13.190
5047,01.02.10.05.43.02,32.50.13.190
5048,01.02.10.05.30,32.50.13.110
5049,01.02.10.05.43.03,32.50.13.190
5050,01.02.10.05.44,32.50.13.190
5051,01.02.10.05.44.01,32.50.13.190
5052,01.02.10.05.44.02,32.50.13.190
5053,01.02.10.05.44.03,32.50.13.190
5054,01.02.10.05.45,32.50.13.190
5055,01.02.10.05.46,32.50.13.190
5056,01.02.10.06,32.50
5057,01.02.10.06.01,32.50.13.190
5058,01.02.10.06.02,32.50.13.190
5059,01.02.10.05.31,32.50.13.190
5060,01.02.10.06.03,32.50.13.190
5061,01.02.10.06.04,32.50.13.190
5062,01.02.10.06.05,32.50.13.190
5063,01.02.10.06.06,32.50.13.190
5064,01.02.10.06.07,32.50.13.190
5065,01.02.10.06.08,32.50.13.190
5066,01.02.10.06.09,32.50.13.190
5067,01.02.10.06.10,32.50.13.190
5068,01.02.10.06.11,32.50
5069,01.02.10.06.12,32.50.13.190
5070,01.02.10.05.32,32.50.13.190
5071,01.02.10.06.12.01,32.50.13.190
5072,01.02.10.06.12.02,32.50.13.190
5073,01.02.10.06.12.03,32.50.13.190
5074,01.02.10.06.12.04,32.50.13.190
5075,01.02.10.06.12.05,32.50.13.190
5076,01.02.10.06.12.06,32.50.13.190
5077,01.02.10.06.12.07,32.50.13.190
5078,01.02.10.06.12.08,32.50.13.190
5079,01.02.10.06.12.09,32.50.13.190
5080,01.02.10.06.12.10,32.50.13.190
5081,01.02.10.05.33,32.50.13.110
5082,01.02.10.05.34,32.50.13.190
5083,01.02.10.05.35,32.50.13.190
5084,01.02.10.05.36,32.50.13.190
5085,01.02.10.05.37,32.50.13.110
5086,01.02.10.06.13.03,32.50.13.190
5087,01.02.10.06.13.04,32.50.13.190
5088,01.02.10.06.13.05,32.50.13.190
5089,01.02.10.06.13.06,32.50.13.190
5090,01.02.10.06.13.07,32.50
5091,01.02.10.06.13.08,32.50.13.190
5092,01.02.10.06.14,32.50.13.190
5093,01.02.10.06.15,32.50.13.110
5094,01.02.10.06.19,32.50.13.110
5095,01.02.10.06.19.01,32.50.13.110
5096,01.02.10.06.19.02,32.50.13.110
5097,01.02.10.06.19.03,32.50.13.110
5098,01.02.10.06.19.04,32.50.13.110
5099,01.02.10.06.19.05,32.50.13.110
5100,01.02.10.06.19.06,32.50.13.110
5101,01.02.10.06.19.07,32.50.13.110
5102,01.02.10.06.19.08,32.50.13.110
5103,01.02.10.06.19.09,32.50.13.110
5104,01.02.10.06.16,32.50.13.190
5105,01.02.10.06.20,32.50.13.110
5106,01.02.10.06.22,32.50.13.190
5107,01.02.10.06.22.01,32.50.13.190
5108,01.02.10.06.22.02,32.50.13.190
5109,01.02.10.06.22.03,32.50.13.190
5110,01.02.10.06.22.04,32.50.13.190
5111,01.02.10.06.29.03,32.50.13.190
5112,01.02.10.06.29.04,32.50.13.190
5113,01.02.10.06.29.05,32.50.13.190
5114,01.02.10.06.23,32.50.13.190
5115,01.02.10.06.12.11,32.50.13.190
5116,01.02.10.06.24,32.50.13.190
5117,01.02.10.06.25,32.50.13.190
5118,01.02.10.06.26,32.50.13.190
5119,01.02.10.06.27,32.50.13.190
5120,01.02.10.06.28,32.50.13.190
5121,01.02.10.06.29,32.50.13.190
5122,01.02.10.06.29.01,32.50.13.190
5123,01.02.10.06.29.02,32.50.13.190
5124,01.02.10.06.29.06,32.50.13.190
5125,01.02.10.06.30,32.50
5126,01.02.10.06.12.12,32.50.13.190
5127,01.02.10.06.31,32.50.13.190
5128,01.02.10.06.32,32.50.13.190
5129,01.02.10.06.33,32.50.13.190
5130,01.02.10.06.34,32.50.13.190
5131,01.02.10.06.35,32.50.13.190
5132,01.02.10.06.36,32.50.13.190
5133,01.02.10.06.37,32.50.13.190
5134,01.02.10.06.38,32.50.13.190
5135,01.02.10.06.39,32.50.13.190
5136,01.02.10.06.40,32.50.13.190
5137,01.02.10.06.13,32.50
5138,01.02.10.06.13.01,32.50.13.190
5139,01.02.10.06.13.02,32.50.13.190
5140,01.02.10.06.17,32.50.13.190
5141,01.02.10.06.18,32.50.13.190
5142,01.02.10.06.43.04,32.50.13.190
5143,01.02.10.06.43.05,32.50.13.190
5144,01.02.10.06.43.06,32.50.13.190
5145,01.02.10.06.43.07,32.50.13.190
5146,01.02.10.06.43.08,32.50.13.190
5147,01.02.10.06.41,32.50
5148,01.02.10.06.42,32.50.13.190
5149,01.02.10.06.43,32.50.13.190
5150,01.02.10.06.43.14,32.50.13.190
5151,01.02.10.06.43.15,32.50.13.190
5152,01.02.10.06.43.16,32.50.13.190
5153,01.02.10.06.43.17,32.50.13.190
5154,01.02.10.06.44,32.50.13.190
5155,01.02.10.06.45,32.50.13.190
5156,01.02.10.06.46,32.50.13.190
5157,01.02.10.06.47,32.50.13.190
5158,01.02.10.06.48,32.50
5159,01.02.10.06.48.01,32.50.13.190
5160,01.02.10.06.43.01,32.50.13.190
5161,01.02.10.06.48.02,32.50.13.190
5162,01.02.10.06.48.03,32.50.13.190
5163,01.02.10.06.48.04,32.50.13.190
5164,01.02.10.06.48.05,32.50.13.190
5165,01.02.10.06.48.06,32.50.13.190
5166,01.02.10.06.48.07,32.50.13.190
5167,01.02.10.06.48.08,32.50.11.000
5168,01.02.10.06.48.09,32.50.13.190
5169,01.02.10.06.48.10,32.50.13.190
5170,01.02.10.06.48.11,32.50.13.190
5171,01.02.10.06.43.02,32.50.13.190
5172,01.02.10.06.49,32.50.13.190
5173,01.02.10.06.50,32.50.13.190
5174,01.02.10.06.51.01,32.50.13.190
5175,01.02.10.06.52,32.50.13.190
5176,01.02.10.06.53,32.50.13.190
5177,01.02.10.06.54,32.50.13.190
5178,01.02.10.06.55,32.50.13.190
5179,01.02.10.06.56.01,32.50.13.190
5180,01.02.10.06.56.02,32.50.13.190
5181,01.02.10.06.56.03,32.50.13.190
5182,01.02.10.06.43.03,32.50.13.190
5183,01.02.10.06.56.04,32.50.13.190
5184,01.02.10.06.56.05,32.50.13.190
5185,01.02.10.06.56.06,32.50.13.190
5186,01.02.10.06.56.07,32.50.13.190
5187,01.02.10.06.56.08,32.50.13.190
5188,01.02.10.06.56.09,32.50.13.190
5189,01.02.10.06.56.10,32.50.13.190
5190,01.02.10.06.56.11,32.50.13.190
5191,01.02.10.06.56.12,32.50.13.190
5192,01.02.10.06.56.13,32.50.13.190
5193,01.02.10.06.43.09,32.50.13.190
5194,01.02.10.06.43.10,32.50.13.190
5195,01.02.10.06.43.11,32.50.13.190
5196,01.02.10.06.43.12,32.50.13.190
5197,01.02.10.06.43.13,32.50.13.190
5198,01.02.10.06.56,32.50.13.190
5199,01.02.10.06.56.14,32.50.13.190
5200,01.02.10.06.57,32.50
5201,01.02.10.06.58,32.50.13.190
5202,01.02.10.06.59,32.50.13.190
5203,01.02.10.06.60,32.50.13.190
5204,01.02.10.06.61,32.50.13.190
5205,01.02.10.06.72,32.50.13.190
5206,01.02.10.06.73,32.50.13.190
5207,01.02.10.06.74,32.50
5208,01.02.10.06.74.01,32.50.13.190
5209,01.02.10.06.74.02,32.50.13.190
5210,01.02.10.06.74.03,32.50.13.190
5211,01.02.10.06.74.04,32.50.13.190
5212,01.02.10.06.74.05,32.50.13.190
5213,01.02.10.06.74.06,32.50.11.000
5214,01.02.10.06.74.07,32.50.13.190
5215,01.02.10.06.62,32.50.13.190
5216,01.02.10.06.74.08,32.50.13.190
5217,01.02.10.06.74.09,32.50.13.190
5218,01.02.10.06.74.10,32.50.13.190
5219,01.02.10.06.74.11,32.50.13.190
5220,01.02.10.06.75,32.50.13.190
5221,01.02.10.06.76,32.50.13.190
5222,01.02.10.06.77,32.50.13.190
5223,01.02.10.06.78,32.50
5224,01.02.10.06.78.01.01,32.50.13.190
5225,01.02.10.06.78.01.02,32.50.13.190
5226,01.02.10.06.63,32.50.13.190
5227,01.02.10.06.78.01.03,32.50.13.190
5228,01.02.10.06.78.01.04,32.50.13.190
5229,01.02.10.06.78.01.06,32.50
5230,01.02.10.06.78.02,32.50.13.190
5231,01.02.10.06.78.03,32.50
5232,01.02.10.06.78.01.05,32.50.13.190
5233,01.02.10.06.78.03.01,32.50
5234,01.02.10.06.78.03.02,32.50
5235,01.02.10.06.78.03.03,32.50.13.190
5236,01.02.10.06.78.03.04,32.50.13.190
5237,01.02.10.06.65,32.50.13.190
5238,01.02.10.12,21.20
5239,01.02.10.12.01.01,21.20.24.130
5240,01.02.10.12.01.02,21.20.24.130
5241,01.02.10.12.01.03,21.20.24.130
5242,01.02.10.12.01.04,21.20.24.130
5243,01.02.10.12.01.05,21.20.24.130
5244,01.02.10.12.01.06,21.20.24.130
5245,01.02.10.12.01.07,21.20.24.150
5246,01.02.10.12.02,21.20
5247,01.02.10.12.02.01,21.20.24.110
5248,01.02.10.06.66,32.50.13.190
5249,01.02.10.06.68,32.50.13.190
5250,01.02.10.06.69,32.50.13.190
5251,01.02.10.06.70,32.50.13.190
5252,01.02.10.06.71,32.50.13.190
5253,01.02.10.12.02.02,21.20
5254,01.02.10.12.02.03,21.20.24.110
5255,01.02.10.12.02.04,21.20.24.160
5256,01.02.10.12.02.05,21.20
5257,01.02.10.12.02.06,21.20.24.160
5258,01.02.10.12.02.07,21.20.24.160
5259,01.02.10.12.02.08,21.20.24.160
5260,01.02.10.12.07.01,32.50.50.000
5261,01.02.10.12.07.02,32.50.50.000
5262,01.02.10.12.08,21.20
5263,01.02.10.12.08.01,21.20
5264,01.02.10.12.05.01,13.99.19.110
5265,01.02.10.12.05.02,13.99.19.110
5266,01.02.10.12.05.03,13.99.19.110
5267,01.02.10.12.06,13.20.44.120
5268,01.02.10.12.06.01,13.20.44.120
5269,01.02.10.12.06.02,13.20.44.120
5270,01.02.10.12.02.09,21.20.24.160
5271,01.02.10.12.06.03,13.20.44.120
5272,01.02.10.12.06.04,13.20.44.120
5273,01.02.10.12.08.02,21.20.24.160
5274,01.02.10.12.08.04,21.20.24.160
5275,01.02.10.12.08.05,21.20.24.160
5276,01.02.10.12.08.06,21.20
5277,01.02.10.12.08.07,21.20.24.110
5278,01.02.10.12.08.03,21.20.24.110
5279,01.02.10.20,32.50
5280,01.02.10.20.01,32.50
5281,01.02.10.12.03,21.20
5282,01.02.10.20.01.01,32.50
5283,01.02.10.20.01.02,32.50
5284,01.02.10.20.01.03,32.50.13.190
5285,01.02.10.20.02,32.50
5286,01.02.10.20.03,32.50.13.190
5287,01.02.10.20.04,32.50.13.190
5288,01.02.10.20.04.01,32.50.13.190
5289,01.02.10.20.04.02,32.50.13.190
5290,01.02.10.20.04.03,32.50.13.190
5291,01.02.10.20.06,32.50
5292,01.02.10.12.04,21.20.24.110
5293,01.02.10.20.06.01,32.50.13.190
5294,01.02.10.20.06.02,32.50
5295,01.02.10.20.06.03,32.50
5296,01.02.10.20.06.04,32.50.13.190
5297,01.02.10.20.06.05,32.50.13.190
5298,01.02.10.20.07,32.50.13.190
5299,01.02.10.20.08,20.59
5300,01.02.10.20.08.01,21.20.10.130
5301,01.02.10.20.08.02,20.59.59
5302,01.02.10.20.09,32.50.13.110
5303,01.02.10.12.04.01,21.20.24.110
5304,01.02.10.12.04.02,21.20.24.110
5305,01.02.10.12.04.03,21.20.24.110
5306,01.02.10.12.04.04,21.20.24.110
5307,01.02.10.12.07,32.50.50.000
5308,01.02.10.20.10,32.50
5309,01.02.10.20.10.01,32.50
5310,01.02.10.20.10.02,32.50.13.110
5311,01.02.10.20.11,32.50.13.110
5312,01.02.10.20.11.01,32.50.13.110
5313,01.02.10.20.11.02,32.50.13.110
5314,01.02.10.20.11.03,32.50.13.110
5315,01.02.10.20.14.03,32.50.13.190
5316,01.02.10.20.15,32.50.13.190
5317,01.02.10.20.16,32.50.13.110
5318,01.02.10.22.01.02,20.59.52.190
5319,01.02.10.22.01.01,32.50.12.000
5320,01.02.10.22.01.03,32.50.12.000
5321,01.02.10.22.01,32.50
5322,01.02.10.22,32.50
5323,01.02.10.20.18.06,32.50.13.190
5324,01.02.10.20.18.05,32.50.13.190
5325,01.02.10.20.12,32.50.13.190
5326,01.02.10.20.18.04,32.50.13.190
5327,01.02.10.20.18.03,32.50.13.190
5328,01.02.10.20.18.02,32.50.13.190
5329,01.02.10.20.18,32.50.13.190
5330,01.02.10.20.18.01,32.50.13.190
5331,01.02.10.22.01.11,32.50.12.000
5332,01.02.10.22.01.10,32.50.12.000
5333,01.02.10.22.01.09,32.50.12.000
5334,01.02.10.22.01.08,32.50.12.000
5335,01.02.10.22.01.07,32.50.12.000
5336,01.02.10.20.12.01,32.50.13.190
5337,01.02.10.22.01.06,32.50.12.000
5338,01.02.10.22.01.05,32.50.12.000
5339,01.02.10.22.01.04,32.50.12.000
5340,01.02.10.22.01.12,20.59.52.190
5341,01.02.10.22.01.13,32.50.12.000
5342,01.02.10.22.01.14,32.50.12.000
5343,01.02.10.22.01.15,32.50.12.000
5344,01.02.10.20.12.02,32.50.13.190
5345,01.02.10.20.12.03,32.50.13.190
5346,01.02.10.20.13,32.50.22.190
5347,01.02.10.20.14,32.50.13.190
5348,01.02.10.20.14.01,32.50.13.190
5349,01.02.10.20.14.02,32.50.13.190
5350,01.02.10.22.02,32.50
5351,01.02.10.22.03,32.50.12.000
5352,01.02.10.22.04,32.50.12.000
5353,01.02.10.22.05,32.50.12.000
5354,01.02.10.22.06,32.50.12.000
5355,01.02.10.22.09.01,20.59.52.190
5356,01.02.10.22.09.02,20.59.52.190
5357,01.02.10.25.02,20.59
5358,01.02.10.25.01.03,22.29.29
5359,01.02.10.25.01.01,22.29.29
5360,01.02.10.25.01,22.29.29
5361,01.02.10.25,20.59
5362,01.02.10.22.10,32.50.13.190
5363,01.02.10.22.09.06,20.59.52.190
5364,01.02.10.25.01.02,22.29.29
5365,01.02.10.22.09.05,20.59.52.190
5366,01.02.10.22.09.04,20.59.52.190
5367,01.02.10.25.04.05,20.59.52.190
5368,01.02.10.25.04.04,32.50.13.190
5369,01.02.10.25.04.03,32.50.13.190
5370,01.02.10.25.04.02,32.50.13.190
5371,01.02.10.25.04.01,32.50.13.190
5372,01.02.10.25.04,20.59
5373,01.02.10.25.03.04,20.30.21.130
5374,01.02.10.25.03.03,32.50.13.190
5375,01.02.10.25.03.01,32.50.13.190
5376,01.02.10.25.03,20.30
5377,01.02.10.25.02.02,22.29.29
5378,01.02.10.25.02.01,20.59.52.190
5379,01.02.10.25.04.06,32.50.13.190
5380,01.02.10.25.04.07,20.59.52.190
5381,01.02.10.25.06,20.59
5382,01.02.10.25.05.05,20.59.52.190
5383,01.02.10.25.05.04,20.59.52.190
5384,01.02.10.25.05.03,20.59.52.190
5385,01.02.10.25.05.02,32.50.13.190
5386,01.02.10.25.06.01,32.50.13.190
5387,01.02.10.25.05,20.59
5388,01.02.10.25.04.10,22.29.29
5389,01.02.10.25.04.09,20.59.52.190
5390,01.02.10.25.04.08,20.59
5391,01.02.10.25.05.01,32.50.13.190
5392,01.02.10.25.08,32.50
5393,01.02.10.25.07.02,23.19.23.110
5394,01.02.10.22.09.03,20.59.52.190
5395,01.02.10.22.08,20.59.52.190
5396,01.02.10.22.09,20.59.52.190
5397,01.02.10.22.07,32.50.12.000
5398,01.02.10.25.07.01,23.19.23.110
5399,01.02.10.25.07,23.19.23.110
5400,01.02.10.25.06.04,32.50.13.190
5401,01.02.10.25.06.03,20.59.52.190
5402,01.02.10.25.06.02,20.59
5403,01.02.10.25.06.05,20.59.52.190
5404,01.02.10.48.02,32.50
5405,01.02.10.48.02.01.03,32.50.13.190
5406,01.02.10.48.02.01.02,32.50.13.190
5407,01.02.10.48.02.02.05,32.50.13.190
5408,01.02.10.48.02.02.07,32.50.13.190
5409,01.02.10.48.02.03,32.50
5410,01.02.10.48.02.02.04,32.50.13.190
5411,01.02.10.48.02.02.06,32.50.13.190
5412,01.02.10.48.02.02,32.50.13.190
5413,01.02.10.48.02.02.01,32.50.13.190
5414,01.02.10.25.09,20.59.52.190
5415,01.02.10.48.02.02.02,32.50.13.190
5416,01.02.10.48.02.02.03,32.50.13.190
5417,01.02.10.48.02.05.01,32.50.13.190
5418,01.02.10.48.02.05,32.50.13.190
5419,01.02.10.48.02.04.01,32.50.13.190
5420,01.02.10.48.02.03.04,32.50.50.000
5421,01.02.10.48.02.03.01,20.59.59
5422,01.02.10.48.02.03.02,32.50.50.000
5423,01.02.10.48.02.03.03,32.50.50.000
5424,01.02.10.48.02.04,32.50.13.190
5425,01.02.10.25.08.07,32.50.13.190
5426,01.02.10.48.05.01,32.50
5427,01.02.10.48.05.01.01,32.50.13.190
5428,01.02.10.48.02.05.02,32.50.13.190
5429,01.02.10.48.03,32.50.13.190
5430,01.02.10.48.04,32.50.13.190
5431,01.02.10.48.04.01,32.50.13.190
5432,01.02.10.48.04.02,32.50.13.190
5433,01.02.10.48.05,32.50
5434,01.02.10.48.05.01.03,32.50.13.190
5435,01.02.10.48.05.01.02,22.22.19.000
5436,01.02.10.48.01,32.50.13.190
5437,01.02.10.48.06,32.50
5438,01.02.10.48.06.06,32.50.13.190
5439,01.02.10.48.06.05,32.50.13.110
5440,01.02.10.48.06.04,32.50.13.190
5441,01.02.10.48.06.03,32.50.13.190
5442,01.02.10.48.06.02,32.50.13.190
5443,01.02.10.48.06.01,32.50
5444,01.02.10.48.06.07,32.50.13.190
5445,01.02.10.48.06.08,32.50.13.190
5446,01.02.10.48.06.09,32.50.13.190
5447,01.02.10.48.02.01.04,32.50.13.190
5448,01.02.10.48.02.01.05,32.50.13.190
5449,01.02.10.48.02.01.06,32.50.13.190
5450,01.02.10.48.02.01.01,32.50.13.190
5451,01.02.10.48.02.01,32.50.13.190
5452,01.02.10.48.06.10,27.40.15.110
5453,01.02.10.48.06.11,32.50.13.110
5454,01.02.10.48.06.12,32.50.13.190
5455,01.02.10.48.06.13,32.50.13.190
5456,01.02.10.48.06.20,32.50.13.190
5457,01.02.10.48.06.15,32.50.13.190
5458,01.02.10.48.06.16,32.50.13.190
5459,01.02.10.48.06.22,32.50.13.190
5460,01.02.10.48.06.23,32.50.13.190
5461,01.02.10.48.06.24,32.50.13.190
5462,01.02.10.48.06.25,32.50.13.190
5463,01.02.10.48.06.26,32.50.13.190
5464,01.02.10.48.07,32.50
5465,01.02.10.48.07.01,32.50.13.190
5466,01.02.10.48.07.02,32.50.13.190
5467,01.02.10.48.07.03,32.50.13.190
5468,01.02.10.48.07.12,32.50
5469,01.02.10.48.06.17,32.50.13.190
5470,01.02.10.48.07.11,32.50
5471,01.02.10.48.07.10,32.50.13.190
5472,01.02.10.48.07.08,32.50.13.190
5473,01.02.10.48.07.13.01,32.50.13.190
5474,01.02.10.48.07.12.01,32.50.13.190
5475,01.02.10.48.07.12.02,32.50.13.190
5476,01.02.10.48.07.12.03,32.50.50.000
5477,01.02.10.48.07.13,32.50.13.190
5478,01.02.10.48.07.07,32.50.13.190
5479,01.02.10.48.07.15.01,32.50.50.000
5480,01.02.10.48.06.18,32.50.50.000
5481,01.02.10.48.07.15,32.50
5482,01.02.10.48.07.14.04,32.50.13.190
5483,01.02.10.48.07.14.03,32.50.50.000
5484,01.02.10.48.07.14.02,32.50.13.190
5485,01.02.10.48.07.14.01,32.50.13.190
5486,01.02.10.48.07.14,32.50
5487,01.02.10.48.07.13.05,32.50.13.190
5488,01.02.10.48.07.13.03,32.50.13.190
5489,01.02.10.48.07.13.04,32.50.13.190
5490,01.02.10.48.07.13.02,32.50.13.190
5491,01.02.10.48.06.19,32.50.13.190
5492,01.02.10.48.07.16,27.40
5493,01.02.10.48.07.15.02,32.50.13.190
5494,01.02.10.48.08.01,32.50
5495,01.02.10.48.08,32.50
5496,01.02.10.48.07.18,32.50.13.190
5497,01.02.10.48.07.20,32.50.13.190
5498,01.02.10.48.07.21,32.50.13.190
5499,01.02.10.48.07.17,32.50.13.190
5500,01.02.10.48.07.19,32.50.13.190
5501,01.02.10.48.08.03.03,32.50.13.190
5502,01.02.10.48.06.14,22.22.11.000
5503,01.02.10.48.07.04,32.50.13.190
5504,01.02.10.48.07.05,32.50.13.190
5505,01.02.10.48.07.06,32.50.13.190
5506,01.02.10.48.06.21,32.50.13.190
5507,01.02.10.48.08.03.02,32.50.13.190
5508,01.02.10.48.08.04,32.50
5509,01.02.10.48.08.01.01,32.50.13.190
5510,01.02.10.48.08.01.02,32.50.50.000
5511,01.02.10.48.08.02,32.50.13.190
5512,01.02.10.48.08.03,32.50
5513,01.02.10.48.08.03.01,32.50.50.000
5514,01.02.10.48.09,32.50
5515,01.02.10.48.09.01,26.60.13.190
5516,01.02.10.48.09.02,26.60.13.190
5517,01.02.10.48.09.03,26.60.13.190
5518,01.02.10.48.09.11,26.60.13.190
5519,01.02.10.48.10,32.50
5520,01.02.10.48.10.01,32.50
5521,01.02.10.48.10.02,32.50
5522,01.02.10.48.10.03,32.50
5523,01.02.10.48.09.06.02,26.60.13.190
5524,01.02.10.48.09.04,32.50
5525,01.02.10.48.09.06.03,26.60.13.190
5526,01.02.10.48.09.06.04,26.60.13.190
5527,01.02.10.48.12.03,32.50.13.190
5528,01.02.10.48.12.04,32.50.13.190
5529,01.02.10.48.12.05,32.50.13.190
5530,01.02.10.48.11,32.50
5531,01.02.10.48.12,32.50.13.190
5532,01.02.10.48.12.01,32.50.13.190
5533,01.02.10.48.12.02,32.50.13.190
5534,01.02.10.48.13,32.50
5535,01.02.10.48.09.05,32.50.50.000
5536,01.02.10.48.13.01,32.50
5537,01.02.10.48.13.02,32.50.13.190
5538,01.02.10.48.13.03,32.50.13.190
5539,01.02.10.48.13.04,32.50.13.190
5540,01.02.10.48.13.05,32.50
5541,01.02.10.48.15,26.60.12.130
5542,01.02.10.48.15.02,26.60.12.130
5543,01.02.10.48.15.03,26.60.12.130
5544,01.02.10.48.16,21.10.60.190
5545,01.02.10.48.16.01,21.10.60.190
5546,01.02.10.48.09.06,26.60.13.190
5547,01.02.10.48.16.02,21.10.60.190
5548,01.02.10.48.16.03,21.10.60.190
5549,01.02.10.48.16.04,21.10.60.190
5550,01.02.10.48.15.01,26.60.12.130
5551,01.02.10.48.16.05,21.10.60.190
5552,01.02.10.48.17.01,32.50.13.190
5553,01.02.10.48.18.01,32.50.13.190
5554,01.02.10.48.18.02,32.50.13.190
5555,01.02.10.48.18.03,32.50.13.190
5556,01.02.10.48.18.09,32.50.13.190
5557,01.02.10.48.09.06.01,26.60.13.190
5558,01.02.10.48.08.05,32.50.13.190
5559,01.02.10.48.08.06,32.50
5560,01.02.10.48.08.07,32.50.13.190
5561,01.02.10.48.08.08,32.50.13.190
5562,01.02.10.48.18.10,32.50.13.190
5563,01.02.10.48.18.11,32.50.13.190
5564,01.02.10.48.18.12,32.50.13.190
5565,01.02.10.48.18.14,32.50.13.190
5566,01.02.10.48.18.05,32.50.13.190
5567,01.02.10.48.18.06,32.50.13.190
5568,01.02.10.09.02,32.50.50
5569,01.02.10.09.02.01,32.50.50
5570,01.02.10.09.02.02,32.50.50
5571,01.02.10.09.02.03,32.50.50
5572,01.02.10.09,32.50.50
5573,01.02.10.09.01,32.50.50
5574,01.02.10.09.02.04,32.50.50
5575,01.02.10.09.02.05,32.50.50
5576,01.02.10.09.02.06,32.50.50
5577,01.02.10.09.02.07,32.50.50
5578,01.02.10.48.18.07,32.50.13.190
5579,01.02.10.09.02.08,32.50.50
5580,01.02.10.09.02.09,32.50.50
5581,01.02.10.09.02.10,32.50.50
5582,01.02.10.09.02.11,32.50.50
5583,01.02.10.09.02.12,32.50.50
5584,01.02.10.09.02.13,32.50.50
5585,01.02.10.43.01.04,20.59
5586,01.02.10.43.01.05,20.59
5587,01.02.10.43.01.06,20.59
5588,01.02.10.43.01.07,20.59.52.190
5589,01.02.10.48.18.08,32.50.13.190
5590,01.02.10.43.01.08,20.59
5591,01.02.10.43.01.09,20.59
5592,01.02.10.43.01.10,20.59
5593,01.02.10.43.01.11,20.59
5594,01.02.10.43.01.12,20.59
5595,01.02.10.43.01.13,20.59
5596,01.02.10.43.01.14,20.59
5597,01.02.10.43.01.15,20.59.52.190
5598,01.02.10.43.01.16,32.50
5599,01.02.10.43.01.17,20.59.52.190
5600,01.02.10.48.18.15,32.50.50.000
5601,01.02.10.09.02.14,32.50.50
5602,01.02.10.09.02.15,32.50.50
5603,01.02.10.09.02.16,32.50.50
5604,01.02.10.09.02.17,32.50.50
5605,01.02.10.09.02.18,32.50.50
5606,01.02.10.09.02.19,32.50.50
5607,01.02.10.09.02.20,32.50.50
5608,01.02.10.43,20.59
5609,01.02.10.43.01,20.59
5610,01.02.10.43.01.01,20.59
5611,01.02.10.48.18.16,32.50.13.190
5612,01.02.10.48.18,32.50
5613,01.02.10.09.01.02,32.50.50
5614,01.02.10.09.01.03,32.50.50
5615,01.02.10.43.01.02,20.59.52.190
5616,01.02.10.43.01.03,20.59
5617,01.02.10.43.01.23,20.59
5618,01.02.10.43.01.24,20.59
5619,01.02.10.43.01.25,20.59
5620,01.02.10.43.01.26,20.59
5621,01.02.10.43.01.35,20.59
5622,01.02.10.43.01.36,20.59.52.190
5623,01.02.10.43.01.22,20.59
5624,01.02.10.43.01.37,20.59
5625,01.02.10.43.01.38,20.59
5626,01.02.10.43.01.39,20.59
5627,01.02.10.43.01.40,20.59
