,Код КПГЗ,Код ОКПД-2 (ОКПД2014)
243,02.02.05.04.04,71.12.19
244,02.02.05.05.01,71.12.19
245,02.02.05.06.06,71.12.19
246,02.02.05.08,71.12.19
247,02.02.05.08.08,71.12.19
248,02.02.05.11.01,71.12.19
249,02.02.05.11.03,71.12.19
250,02.02.05.13.04,71.12.19
251,01.15.05.03.02,22.29.29.190
252,01.15.05.02.06.01,22.29.25
253,01.15.07.05.01,25.99.22
254,02.02.05.13.05,71.12.19
255,02.02.05.17.04,71.12.19
256,02.02.05.19,71.12.19
257,02.02.05.20,71.12.19
258,02.02.05.23.01,71.12.19
259,02.03.01.02.02,42.99
260,02.03.02.02.05,42.13.20
261,02.03.02.06,42.21.22.130
262,02.03.02.07.03,42.99.29
263,02.04.01.02.04,41.20
264,02.04.03.02,41.20.40
265,02.04.03.02.05,41.20
266,02.04.04,43.12.11.110
267,03.31.03.05.01.13,43.99.90.160
268,03.31.03.05.01.28,43.99.90.160
269,03.31.03.05.02.03,77.32.10.000
270,03.31.03.05.02.04,77.32.10.000
271,03.31.03.05.02.15,77.32.10.000
272,03.31.03.05.02.42,77.32.10.000
273,02.05.01.01.01,41.20
274,02.05.01.02.02,42.99.22.110
275,02.05.01.02.03,41.20
276,02.05.02.01,41.20.40
277,02.05.02.02.03,42.12
278,02.05.02.02.13,41.20.40
279,02.05.02.03.05,33.11.13.000
280,02.05.02.05,42.22.23
281,02.05.02.05.02,42.22.23
282,02.05.02.09,33.14.19.000
283,02.06.01.02,41.20.40
284,02.06.01.02.03,41.20.40
285,02.06.02.02.04,41.20.40
286,02.06.02.02.05,42.13.20
287,02.06.02.02.09,35.13.10.000
288,02.06.03.04,43.12.11.110
289,02.06.04.01,43.99.90.190
290,02.06.99,43.39.19.190
291,02.07.02,41.20.40.200
292,01.20.04,20.41
293,01.20.05,20.42
294,02.08.03,84.13.11.000
295,02.09.01,71.12.35.120
296,02.10.02,71.12.35.120
297,02.11.03.01,33.13.19
298,02.11.03.99,33.17
299,02.12.03.07,43.21.10.140
300,02.12.10,29.32.92.000
301,02.13.02.99,72.19.1
302,02.17.01.02,82.99.19.000
